Дата,Проект,цена,Номеров,Использовали,Источник,как собиралось,Ответственный,link,статус,комментарий
27.11.2019,E-Series,43.3,5630,253,Thoughtsphere,Training,Weston,,true,
11.11.2019,XLR-V,46.5,2154,682,Edgepulse,Business Development,Wynn,https://quantcast.com/justo.json?posuere=dui&nonummy=luctus&integer=rutrum&non=nulla&velit=tellus&donec=in&diam=sagittis&neque=dui&vestibulum=vel&eget=nisl&vulputate=duis&ut=ac&ultrices=nibh&vel=fusce&augue=lacus&vestibulum=purus&ante=aliquet&ipsum=at&primis=feugiat&in=non&faucibus=pretium&orci=quis,true,
10.08.2018,Econoline E350,69.3,8059,154,Skinder,Business Development,Frederich,,false,
29.07.2019,Kizashi,66.9,7353,399,Yacero,,Priscilla,,false,Streamlined
16.01.2018,Caravan,19.7,6928,163,Tambee,,Janina,,true,
29.11.2019,Impulse,14.6,4223,148,Zoombox,Training,Georgiana,http://cdbaby.com/vitae.js?amet=eget&erat=vulputate&nulla=ut&tempus=ultrices&vivamus=vel&in=augue&felis=vestibulum&eu=ante&sapien=ipsum&cursus=primis&vestibulum=in&proin=faucibus&eu=orci&mi=luctus&nulla=et&ac=ultrices&enim=posuere&in=cubilia&tempor=curae&turpis=donec&nec=pharetra&euismod=magna&scelerisque=vestibulum&quam=aliquet&turpis=ultrices&adipiscing=erat&lorem=tortor&vitae=sollicitudin&mattis=mi&nibh=sit&ligula=amet&nec=lobortis&sem=sapien&duis=sapien&aliquam=non&convallis=mi&nunc=integer&proin=ac&at=neque&turpis=duis&a=bibendum&pede=morbi&posuere=non&nonummy=quam&integer=nec&non=dui&velit=luctus&donec=rutrum&diam=nulla&neque=tellus&vestibulum=in&eget=sagittis&vulputate=dui&ut=vel&ultrices=nisl&vel=duis&augue=ac&vestibulum=nibh&ante=fusce&ipsum=lacus&primis=purus&in=aliquet&faucibus=at&orci=feugiat&luctus=non&et=pretium&ultrices=quis&posuere=lectus&cubilia=suspendisse&curae=potenti&donec=in&pharetra=eleifend&magna=quam&vestibulum=a&aliquet=odio&ultrices=in&erat=hac&tortor=habitasse&sollicitudin=platea&mi=dictumst&sit=maecenas&amet=ut&lobortis=massa&sapien=quis&sapien=augue&non=luctus&mi=tincidunt&integer=nulla&ac=mollis&neque=molestie&duis=lorem&bibendum=quisque&morbi=ut&non=erat,false,
26.01.2017,Milan,80.4,1832,131,Wikido,Accounting,Bengt,https://marriott.com/eu/nibh/quisque/id/justo/sit/amet.aspx?morbi=cum&quis=sociis&tortor=natoque&id=penatibus&nulla=et&ultrices=magnis&aliquet=dis&maecenas=parturient&leo=montes&odio=nascetur&condimentum=ridiculus&id=mus&luctus=vivamus&nec=vestibulum&molestie=sagittis&sed=sapien&justo=cum&pellentesque=sociis&viverra=natoque&pede=penatibus&ac=et&diam=magnis&cras=dis&pellentesque=parturient&volutpat=montes&dui=nascetur&maecenas=ridiculus&tristique=mus&est=etiam&et=vel&tempus=augue&semper=vestibulum&est=rutrum&quam=rutrum,,
24.03.2017,5 Series,50.7,3207,835,Cogilith,Business Development,Vinnie,http://berkeley.edu/amet/nulla/quisque/arcu/libero/rutrum.html?mi=rutrum&in=nulla&porttitor=nunc&pede=purus&justo=phasellus&eu=in&massa=felis&donec=donec&dapibus=semper&duis=sapien&at=a&velit=libero&eu=nam&est=dui&congue=proin&elementum=leo&in=odio&hac=porttitor&habitasse=id&platea=consequat&dictumst=in&morbi=consequat&vestibulum=ut&velit=nulla&id=sed&pretium=accumsan&iaculis=felis&diam=ut&erat=at&fermentum=dolor&justo=quis&nec=odio&condimentum=consequat&neque=varius&sapien=integer&placerat=ac&ante=leo&nulla=pellentesque&justo=ultrices&aliquam=mattis&quis=odio&turpis=donec&eget=vitae&elit=nisi&sodales=nam&scelerisque=ultrices&mauris=libero&sit=non&amet=mattis&eros=pulvinar&suspendisse=nulla&accumsan=pede&tortor=ullamcorper&quis=augue&turpis=a,true,Realigned
25.10.2018,Tundra,5.7,7414,370,Jamia,Sales,Conchita,,false,
05.12.2017,Lucerne,60.7,5948,519,Jatri,Human Resources,Alexis,,true,
30.08.2020,Bravada,9.4,1728,609,Meembee,Accounting,Eydie,,true,
21.06.2018,Legacy,104.3,9110,854,Zoomzone,,Bancroft,http://histats.com/ante/ipsum/primis.aspx?curae=lobortis&duis=vel,true,global
31.03.2018,Aspire,120.9,5175,813,Youspan,Sales,Frederigo,http://mail.ru/curae/duis/faucibus/accumsan/odio.png?cubilia=purus&curae=phasellus&donec=in&pharetra=felis&magna=donec&vestibulum=semper&aliquet=sapien&ultrices=a&erat=libero&tortor=nam&sollicitudin=dui&mi=proin&sit=leo&amet=odio&lobortis=porttitor&sapien=id&sapien=consequat&non=in&mi=consequat&integer=ut&ac=nulla&neque=sed&duis=accumsan&bibendum=felis&morbi=ut&non=at&quam=dolor&nec=quis&dui=odio&luctus=consequat&rutrum=varius&nulla=integer&tellus=ac&in=leo&sagittis=pellentesque&dui=ultrices&vel=mattis&nisl=odio&duis=donec&ac=vitae&nibh=nisi&fusce=nam&lacus=ultrices&purus=libero&aliquet=non&at=mattis&feugiat=pulvinar&non=nulla&pretium=pede&quis=ullamcorper&lectus=augue&suspendisse=a&potenti=suscipit,false,
29.05.2018,GTO,85.1,6335,454,Oyondu,,Mercedes,,false,
14.10.2017,S6,90.5,2744,193,Jetpulse,,Robbin,http://bing.com/purus.json?id=imperdiet&nisl=nullam&venenatis=orci&lacinia=pede&aenean=venenatis&sit=non&amet=sodales&justo=sed&morbi=tincidunt&ut=eu&odio=felis&cras=fusce&mi=posuere&pede=felis&malesuada=sed&in=lacus&imperdiet=morbi&et=sem&commodo=mauris&vulputate=laoreet&justo=ut&in=rhoncus&blandit=aliquet&ultrices=pulvinar&enim=sed&lorem=nisl&ipsum=nunc&dolor=rhoncus&sit=dui&amet=vel&consectetuer=sem&adipiscing=sed&elit=sagittis&proin=nam&interdum=congue&mauris=risus&non=semper&ligula=porta&pellentesque=volutpat&ultrices=quam&phasellus=pede&id=lobortis&sapien=ligula&in=sit&sapien=amet&iaculis=eleifend&congue=pede&vivamus=libero&metus=quis&arcu=orci&adipiscing=nullam&molestie=molestie&hendrerit=nibh&at=in,true,
03.08.2020,Esprit,124.5,9271,300,Oyoloo,Human Resources,Brigit,http://zdnet.com/sem/fusce/consequat/nulla/nisl/nunc.xml?congue=quam&diam=sapien&id=varius&ornare=ut&imperdiet=blandit&sapien=non&urna=interdum&pretium=in&nisl=ante&ut=vestibulum&volutpat=ante&sapien=ipsum&arcu=primis&sed=in&augue=faucibus&aliquam=orci&erat=luctus&volutpat=et&in=ultrices&congue=posuere&etiam=cubilia&justo=curae&etiam=duis&pretium=faucibus&iaculis=accumsan&justo=odio&in=curabitur&hac=convallis&habitasse=duis&platea=consequat&dictumst=dui&etiam=nec&faucibus=nisi&cursus=volutpat&urna=eleifend&ut=donec&tellus=ut&nulla=dolor&ut=morbi&erat=vel&id=lectus&mauris=in&vulputate=quam&elementum=fringilla&nullam=rhoncus&varius=mauris&nulla=enim&facilisi=leo&cras=rhoncus&non=sed&velit=vestibulum&nec=sit&nisi=amet&vulputate=cursus&nonummy=id&maecenas=turpis&tincidunt=integer&lacus=aliquet&at=massa&velit=id&vivamus=lobortis&vel=convallis&nulla=tortor&eget=risus,false,
22.11.2018,Thunderbird,139.2,5391,596,Eayo,Marketing,Milka,http://springer.com/vestibulum/sed/magna/at/nunc/commodo.js?diam=vestibulum&neque=sagittis&vestibulum=sapien&eget=cum&vulputate=sociis&ut=natoque&ultrices=penatibus&vel=et&augue=magnis&vestibulum=dis&ante=parturient&ipsum=montes&primis=nascetur&in=ridiculus&faucibus=mus&orci=etiam&luctus=vel&et=augue&ultrices=vestibulum&posuere=rutrum&cubilia=rutrum&curae=neque&donec=aenean&pharetra=auctor&magna=gravida&vestibulum=sem&aliquet=praesent&ultrices=id&erat=massa&tortor=id&sollicitudin=nisl&mi=venenatis&sit=lacinia&amet=aenean&lobortis=sit&sapien=amet&sapien=justo&non=morbi&mi=ut&integer=odio&ac=cras&neque=mi&duis=pede&bibendum=malesuada&morbi=in&non=imperdiet&quam=et&nec=commodo&dui=vulputate&luctus=justo&rutrum=in&nulla=blandit&tellus=ultrices&in=enim&sagittis=lorem&dui=ipsum&vel=dolor&nisl=sit&duis=amet&ac=consectetuer&nibh=adipiscing&fusce=elit&lacus=proin&purus=interdum&aliquet=mauris&at=non&feugiat=ligula&non=pellentesque&pretium=ultrices&quis=phasellus&lectus=id&suspendisse=sapien&potenti=in&in=sapien&eleifend=iaculis&quam=congue&a=vivamus&odio=metus&in=arcu&hac=adipiscing&habitasse=molestie&platea=hendrerit&dictumst=at&maecenas=vulputate&ut=vitae&massa=nisl&quis=aenean&augue=lectus&luctus=pellentesque&tincidunt=eget,true,
13.05.2017,Truck,9.0,3134,693,Mymm,Business Development,Joyan,,true,
10.02.2020,LTD Crown Victoria,53.4,9465,421,Blogtag,Accounting,Dorey,,,
09.08.2017,Caravan,56.3,4876,568,Photojam,Training,Ibby,,true,
19.04.2020,Dakota Club,64.0,4358,209,Realblab,Sales,Ardelle,,,
13.08.2020,Mazda6,99.6,2008,80,Linklinks,,Nikola,,false,hardware
29.01.2017,Colorado,16.4,3604,294,Divavu,Training,Brett,,false,
27.02.2020,E-Series,117.8,3638,502,Yakitri,Legal,Robinet,,true,
09.06.2017,Xterra,91.9,4793,954,Edgetag,Accounting,Mordy,,true,User-centric
13.03.2018,Diamante,92.7,4773,188,Blogspan,,Gaye,,true,
29.11.2017,Swift,99.3,1465,977,Avavee,Support,Boony,https://vk.com/mollis/molestie/lorem.aspx?varius=ultrices&ut=posuere&blandit=cubilia&non=curae&interdum=duis&in=faucibus&ante=accumsan&vestibulum=odio&ante=curabitur&ipsum=convallis&primis=duis&in=consequat&faucibus=dui&orci=nec&luctus=nisi&et=volutpat&ultrices=eleifend&posuere=donec&cubilia=ut&curae=dolor&duis=morbi&faucibus=vel&accumsan=lectus&odio=in&curabitur=quam&convallis=fringilla&duis=rhoncus&consequat=mauris&dui=enim&nec=leo&nisi=rhoncus&volutpat=sed&eleifend=vestibulum&donec=sit&ut=amet&dolor=cursus&morbi=id&vel=turpis&lectus=integer&in=aliquet&quam=massa&fringilla=id&rhoncus=lobortis&mauris=convallis&enim=tortor&leo=risus&rhoncus=dapibus&sed=augue&vestibulum=vel&sit=accumsan&amet=tellus&cursus=nisi&id=eu&turpis=orci&integer=mauris&aliquet=lacinia&massa=sapien&id=quis&lobortis=libero&convallis=nullam&tortor=sit&risus=amet&dapibus=turpis&augue=elementum&vel=ligula&accumsan=vehicula&tellus=consequat&nisi=morbi&eu=a&orci=ipsum&mauris=integer&lacinia=a&sapien=nibh&quis=in&libero=quis&nullam=justo&sit=maecenas&amet=rhoncus&turpis=aliquam&elementum=lacus&ligula=morbi&vehicula=quis&consequat=tortor&morbi=id&a=nulla&ipsum=ultrices&integer=aliquet,,disintermediate
14.10.2018,Avalanche,45.1,7513,565,Quire,,Arlena,,,instruction set
23.01.2019,Windstar,96.3,6742,123,Avamba,,Joanne,,,
15.12.2017,Miata MX-5,74.2,1756,317,Feedfire,Training,Demott,,,Networked
07.04.2018,3500,73.5,7196,497,Innojam,Services,Rey,http://edublogs.org/nulla.jsp?pede=vehicula&lobortis=consequat&ligula=morbi&sit=a&amet=ipsum&eleifend=integer&pede=a&libero=nibh&quis=in&orci=quis&nullam=justo&molestie=maecenas&nibh=rhoncus&in=aliquam&lectus=lacus&pellentesque=morbi&at=quis&nulla=tortor&suspendisse=id&potenti=nulla&cras=ultrices&in=aliquet&purus=maecenas&eu=leo&magna=odio&vulputate=condimentum&luctus=id&cum=luctus&sociis=nec&natoque=molestie&penatibus=sed&et=justo&magnis=pellentesque&dis=viverra&parturient=pede&montes=ac&nascetur=diam&ridiculus=cras&mus=pellentesque&vivamus=volutpat&vestibulum=dui&sagittis=maecenas&sapien=tristique&cum=est&sociis=et&natoque=tempus&penatibus=semper&et=est,false,
01.04.2017,Passport,76.6,3610,74,Topiczoom,,Olimpia,,true,
13.04.2018,Villager,103.6,9003,811,Babbleblab,Research and Development,Audrie,https://reverbnation.com/est/phasellus/sit/amet.html?proin=vel&at=ipsum&turpis=praesent&a=blandit&pede=lacinia&posuere=erat&nonummy=vestibulum&integer=sed&non=magna&velit=at&donec=nunc&diam=commodo&neque=placerat&vestibulum=praesent&eget=blandit&vulputate=nam&ut=nulla&ultrices=integer&vel=pede&augue=justo&vestibulum=lacinia&ante=eget&ipsum=tincidunt&primis=eget&in=tempus&faucibus=vel&orci=pede&luctus=morbi&et=porttitor&ultrices=lorem&posuere=id&cubilia=ligula&curae=suspendisse&donec=ornare&pharetra=consequat&magna=lectus&vestibulum=in&aliquet=est&ultrices=risus&erat=auctor&tortor=sed&sollicitudin=tristique&mi=in&sit=tempus&amet=sit,false,
15.05.2020,Vanagon,134.6,6105,146,Dabshots,,Jessie,,false,
30.07.2019,Impala,19.9,8088,903,Photospace,Legal,Bartie,https://exblog.jp/at/dolor/quis.jpg?suscipit=adipiscing&ligula=elit&in=proin&lacus=risus&curabitur=praesent&at=lectus&ipsum=vestibulum&ac=quam&tellus=sapien&semper=varius&interdum=ut&mauris=blandit&ullamcorper=non&purus=interdum&sit=in&amet=ante&nulla=vestibulum&quisque=ante,false,
05.05.2018,Wrangler,60.5,3127,519,Avamba,,Benedicto,,true,system-worthy
30.12.2017,E250,50.8,7662,183,Bubblebox,Services,Willem,,true,analyzing
19.06.2019,Z4,129.2,5043,730,DabZ,Product Management,Aubert,https://google.ca/cursus/vestibulum/proin/eu/mi.js?quam=libero&fringilla=non&rhoncus=mattis&mauris=pulvinar&enim=nulla&leo=pede&rhoncus=ullamcorper&sed=augue&vestibulum=a&sit=suscipit&amet=nulla&cursus=elit&id=ac&turpis=nulla&integer=sed&aliquet=vel&massa=enim&id=sit&lobortis=amet&convallis=nunc&tortor=viverra&risus=dapibus&dapibus=nulla&augue=suscipit&vel=ligula&accumsan=in&tellus=lacus&nisi=curabitur&eu=at,,
05.01.2018,New Yorker,58.1,3968,258,Aivee,Engineering,Tracy,,true,instruction set
27.12.2018,Navigator,83.2,4143,362,Voonder,,Ad,,true,
02.08.2018,Camry,127.9,6462,234,Edgewire,Legal,Caesar,http://yale.edu/id/lobortis/convallis/tortor.jpg?nulla=est&ultrices=et&aliquet=tempus&maecenas=semper&leo=est&odio=quam&condimentum=pharetra&id=magna&luctus=ac&nec=consequat&molestie=metus&sed=sapien&justo=ut&pellentesque=nunc&viverra=vestibulum&pede=ante&ac=ipsum&diam=primis&cras=in&pellentesque=faucibus&volutpat=orci&dui=luctus&maecenas=et&tristique=ultrices&est=posuere&et=cubilia&tempus=curae&semper=mauris&est=viverra&quam=diam&pharetra=vitae&magna=quam&ac=suspendisse&consequat=potenti&metus=nullam&sapien=porttitor&ut=lacus&nunc=at&vestibulum=turpis&ante=donec&ipsum=posuere&primis=metus&in=vitae&faucibus=ipsum&orci=aliquam&luctus=non&et=mauris&ultrices=morbi&posuere=non&cubilia=lectus&curae=aliquam&mauris=sit&viverra=amet&diam=diam&vitae=in&quam=magna&suspendisse=bibendum&potenti=imperdiet&nullam=nullam&porttitor=orci&lacus=pede&at=venenatis,,transitional
02.12.2019,Jimmy,62.8,3043,524,Voonix,Product Management,Gay,,,
22.12.2019,Cabriolet,3.3,5935,25,Eazzy,,Elmore,http://ebay.com/natoque/penatibus/et/magnis/dis.json?a=id&feugiat=pretium&et=iaculis&eros=diam&vestibulum=erat&ac=fermentum&est=justo&lacinia=nec&nisi=condimentum&venenatis=neque&tristique=sapien&fusce=placerat&congue=ante&diam=nulla&id=justo&ornare=aliquam&imperdiet=quis&sapien=turpis&urna=eget&pretium=elit&nisl=sodales&ut=scelerisque&volutpat=mauris&sapien=sit&arcu=amet&sed=eros&augue=suspendisse&aliquam=accumsan&erat=tortor&volutpat=quis&in=turpis&congue=sed&etiam=ante&justo=vivamus&etiam=tortor&pretium=duis&iaculis=mattis&justo=egestas&in=metus&hac=aenean&habitasse=fermentum&platea=donec&dictumst=ut&etiam=mauris&faucibus=eget&cursus=massa&urna=tempor&ut=convallis&tellus=nulla&nulla=neque&ut=libero&erat=convallis&id=eget&mauris=eleifend&vulputate=luctus&elementum=ultricies&nullam=eu&varius=nibh&nulla=quisque&facilisi=id&cras=justo&non=sit&velit=amet&nec=sapien&nisi=dignissim&vulputate=vestibulum&nonummy=vestibulum&maecenas=ante&tincidunt=ipsum&lacus=primis&at=in&velit=faucibus&vivamus=orci&vel=luctus&nulla=et&eget=ultrices&eros=posuere&elementum=cubilia&pellentesque=curae&quisque=nulla&porta=dapibus&volutpat=dolor&erat=vel&quisque=est&erat=donec&eros=odio&viverra=justo&eget=sollicitudin&congue=ut&eget=suscipit&semper=a&rutrum=feugiat&nulla=et&nunc=eros,true,
25.04.2018,Expo,83.6,8555,744,Kimia,Accounting,Sydney,,false,
23.01.2018,Savana 3500,44.4,9819,401,Livetube,Human Resources,Dominique,,false,
23.03.2020,Camaro,83.8,6840,600,Agimba,Business Development,Bradford,http://loc.gov/ligula/pellentesque/ultrices/phasellus/id/sapien/in.jsp?nec=sapien&nisi=sapien&volutpat=non&eleifend=mi&donec=integer&ut=ac&dolor=neque&morbi=duis&vel=bibendum&lectus=morbi&in=non&quam=quam&fringilla=nec&rhoncus=dui&mauris=luctus&enim=rutrum&leo=nulla&rhoncus=tellus&sed=in&vestibulum=sagittis&sit=dui&amet=vel&cursus=nisl&id=duis&turpis=ac&integer=nibh&aliquet=fusce&massa=lacus&id=purus&lobortis=aliquet&convallis=at&tortor=feugiat&risus=non&dapibus=pretium&augue=quis,,
26.06.2020,Corvette,139.2,5253,806,Topiczoom,Research and Development,Clarke,,false,background
16.09.2019,Sonoma,36.3,6612,20,Youbridge,Support,Brandtr,,true,
07.03.2019,Landaulet,80.1,2762,198,Avamba,Sales,Gaston,,,
07.10.2019,Fairlane,29.5,7871,707,LiveZ,Accounting,Tresa,https://salon.com/nisi.js?rhoncus=pede&mauris=morbi&enim=porttitor&leo=lorem&rhoncus=id&sed=ligula&vestibulum=suspendisse&sit=ornare&amet=consequat&cursus=lectus&id=in&turpis=est&integer=risus&aliquet=auctor&massa=sed&id=tristique&lobortis=in&convallis=tempus&tortor=sit&risus=amet&dapibus=sem&augue=fusce&vel=consequat&accumsan=nulla&tellus=nisl&nisi=nunc&eu=nisl&orci=duis&mauris=bibendum&lacinia=felis&sapien=sed&quis=interdum&libero=venenatis&nullam=turpis&sit=enim&amet=blandit&turpis=mi&elementum=in&ligula=porttitor&vehicula=pede&consequat=justo&morbi=eu&a=massa&ipsum=donec&integer=dapibus&a=duis&nibh=at&in=velit&quis=eu&justo=est&maecenas=congue&rhoncus=elementum&aliquam=in&lacus=hac&morbi=habitasse&quis=platea&tortor=dictumst&id=morbi&nulla=vestibulum&ultrices=velit&aliquet=id&maecenas=pretium&leo=iaculis&odio=diam&condimentum=erat&id=fermentum&luctus=justo&nec=nec&molestie=condimentum&sed=neque&justo=sapien&pellentesque=placerat&viverra=ante&pede=nulla&ac=justo&diam=aliquam&cras=quis&pellentesque=turpis&volutpat=eget&dui=elit&maecenas=sodales&tristique=scelerisque&est=mauris&et=sit&tempus=amet&semper=eros&est=suspendisse&quam=accumsan&pharetra=tortor,true,
